Attrition,Age,BusinessTravel,Department,DistanceFromHome,Education,EducationField,JobSatisfaction,RelationshipSatisfaction,YearsAtCompany,YearsInCurrentRole,YearsSinceLastPromotion,YearsWithCurrManager
Yes,41.0,Travel_Rarely,Sales,1,2,Life Sciences,4,1,6,4.0,0,5
No,49.0,Travel_Frequently,Research & Development,8,1,Life Sciences,2,4,10,7.0,1,7
Yes,37.0,Travel_Rarely,Research & Development,2,2,Other,3,2,0,0.0,0,0
No,33.0,Travel_Frequently,Research & Development,3,4,Life Sciences,3,3,8,7.0,3,0
No,27.0,Travel_Rarely,Research & Development,2,1,Medical,2,4,2,2.0,2,2
No,32.0,Travel_Frequently,Research & Development,2,2,Life Sciences,4,3,7,7.0,3,6
No,59.0,Travel_Rarely,Research & Development,3,3,Medical,1,1,1,0.0,0,0
No,30.0,Travel_Rarely,Research & Development,24,1,Life Sciences,3,2,1,0.0,0,0
No,38.0,Travel_Frequently,Research & Development,23,3,Life Sciences,3,2,9,7.0,1,8
No,36.0,,Research & Development,27,3,Medical,3,2,7,7.0,7,7
No,35.0,Travel_Rarely,Research & Development,16,3,Medical,2,3,5,4.0,0,3
No,29.0,Travel_Rarely,Research & Development,15,2,Life Sciences,3,4,9,5.0,0,8
No,31.0,Travel_Rarely,Research & Development,26,1,Life Sciences,3,4,5,2.0,4,3
No,34.0,,Research & Development,19,2,Medical,4,3,2,2.0,1,2
Yes,28.0,Travel_Rarely,Research & Development,24,3,Life Sciences,3,2,4,2.0,0,3
No,29.0,Travel_Rarely,Research & Development,21,4,Life Sciences,1,3,10,9.0,8,8
No,32.0,Travel_Rarely,Research & Development,5,2,Life Sciences,2,4,6,2.0,0,5
No,22.0,Non-Travel,Research & Development,16,2,Medical,4,2,1,0.0,0,0
No,53.0,Travel_Rarely,Sales,2,4,Life Sciences,4,3,25,8.0,3,7
No,38.0,Travel_Rarely,Research & Development,2,3,Life Sciences,4,3,3,2.0,1,2
No,24.0,Non-Travel,Research & Development,11,2,Other,3,4,4,2.0,1,3
Yes,36.0,Travel_Rarely,Sales,9,4,Life Sciences,1,2,5,3.0,0,3
No,34.0,,Research & Development,7,4,Life Sciences,2,3,12,6.0,2,11
No,21.0,,Research & Development,15,2,Life Sciences,4,4,0,0.0,0,0
Yes,34.0,Travel_Rarely,Research & Development,6,1,Medical,1,3,4,2.0,1,3
No,53.0,,Research & Development,5,3,Other,3,4,14,,4,8
Yes,32.0,Travel_Frequently,Research & Development,16,1,Life Sciences,1,2,10,2.0,6,7
No,,Travel_Rarely,Sales,8,4,Marketing,2,4,9,7.0,4,2
No,44.0,Travel_Rarely,Research & Development,7,4,Medical,4,4,22,6.0,5,17
No,46.0,Travel_Rarely,Sales,2,4,Marketing,1,4,2,2.0,2,1
No,33.0,Travel_Rarely,Research & Development,2,3,Medical,4,4,1,1.0,0,0
No,44.0,Travel_Rarely,Research & Development,10,4,Other,4,4,4,2.0,1,3
No,,Travel_Rarely,Research & Development,9,2,Medical,3,1,10,0.0,1,8
Yes,39.0,Travel_Rarely,Sales,5,3,Technical Degree,4,3,1,0.0,0,0
Yes,24.0,Travel_Rarely,Research & Development,1,3,Medical,4,1,2,0.0,2,0
No,43.0,Travel_Rarely,Research & Development,2,2,Medical,3,4,5,3.0,1,4
Yes,50.0,Travel_Rarely,Sales,3,2,Marketing,3,3,3,2.0,0,2
No,35.0,Travel_Rarely,Sales,2,3,Marketing,4,1,2,2.0,2,2
