x_1,x_2,Class
13,97,0
72,76,1
67,56,1
58,52,0
88,89,1
85,73,1
41,18,0
79,12,1
24,62,0
81,44,1
94,85,1
13,90,0
38,10,0
96,46,1
26,91,0
99,51,1
30,57,0
85,88,1
70,47,1
79,82,1
47,74,0
11,55,0
35,98,0
85,21,1
89,83,1
20,11,0
74,75,1
53,64,0
76,71,1
25,15,0
87,63,1
53,19,0
71,31,1
27,77,0
52,72,0
64,76,1
73,39,1
24,19,0
73,12,1
28,75,0
81,51,1
87,55,1
98,83,1
80,92,1
86,21,1
14,58,0
51,21,0
20,16,0
55,18,0
81,81,1
27,94,0
98,27,1
99,10,1
92,92,1
37,71,0
19,74,0
56,22,0
83,70,1
77,92,1
57,40,0
40,27,0
41,19,0
99,72,1
72,29,1
45,30,0
19,37,0
57,16,0
68,15,1
21,27,0
23,30,0
91,78,1
28,83,0
85,89,1
95,46,1
94,18,1
38,99,0
71,93,1
45,80,0
93,81,1
43,83,0
11,73,0
10,95,0
19,64,0
40,68,0
90,99,1
65,46,1
29,10,0
12,60,0
28,23,0
93,40,1
48,85,0
66,94,1
16,33,0
11,47,0
53,86,0
33,26,0
10,68,0
13,90,0
72,57,1
36,32,0
