Зарплата,Число транзакций,Target
355000,401,Нет
952000,856,Да
128000,863,Нет
785000,597,Да
942000,467,Да
306000,819,Да
534000,768,Да
401000,752,Да
737000,542,Да
793000,878,Да
124000,811,Нет
789000,709,Да
190000,910,Нет
123000,879,Нет
178000,471,Нет
480000,220,Нет
511000,471,Нет
941000,205,Нет
485000,683,Нет
937000,243,Да
624000,451,Да
883000,807,Да
488000,948,Да
834000,434,Да
120000,771,Нет
583000,907,Да
292000,641,Нет
522000,446,Да
557000,946,Да
565000,741,Да
206000,142,Нет
931000,866,Да
983000,572,Да
770000,878,Да
212000,587,Нет
162000,915,Нет
491000,276,Нет
622000,270,Нет
312000,126,Нет
566000,444,Да
236000,963,Нет
110000,692,Нет
815000,449,Да
425000,308,Нет
112000,228,Нет
979000,324,Нет
850000,428,Да
296000,839,Да
252000,750,Нет
326000,487,Нет
814000,400,Нет
727000,751,Да
427000,650,Нет
430000,780,Да
915000,599,Да
818000,229,Нет
232000,161,Нет
456000,552,Да
872000,518,Да
804000,280,Да
862000,260,Да
637000,149,Нет
827000,734,Да
667000,389,Да
172000,673,Нет
812000,432,Да
274000,608,Нет
504000,436,Нет
976000,828,Да
187000,239,Нет
833000,960,Да
521000,472,Да
176000,602,Нет
260000,899,Нет
346000,479,Нет
668000,786,Да
976000,231,Нет
574000,125,Нет
626000,854,Да
535000,536,Да
375000,191,Нет
621000,788,Да
621000,300,Да
287000,931,Да
459000,957,Да
137000,818,Нет
552000,284,Нет
242000,260,Нет
946000,339,Нет
737000,686,Да
464000,123,Нет
344000,403,Нет
561000,484,Да
659000,946,Да
764000,929,Да
288000,352,Нет
884000,126,Нет
580000,630,Да
662000,938,Да
555000,251,Нет
697000,399,Нет
992000,731,Да
378000,599,Да
330000,291,Нет
293000,782,Да
449000,153,Нет
843000,833,Да
626000,276,Нет
945000,514,Да
769000,322,Да
761000,910,Да
718000,937,Да
250000,991,Да
896000,454,Да
438000,314,Нет
858000,468,Да
943000,373,Нет
986000,698,Да
762000,799,Да
597000,927,Да
403000,955,Да
522000,189,Нет
310000,772,Да
338000,622,Да
578000,263,Нет
483000,878,Да
666000,268,Нет
777000,891,Да
780000,821,Да
567000,667,Да
519000,833,Да
506000,452,Нет
588000,509,Нет
574000,186,Нет
800000,655,Да
281000,482,Нет
726000,625,Да
563000,804,Да
875000,122,Нет
834000,461,Да
441000,294,Нет
179000,969,Да
518000,137,Нет
829000,168,Нет
224000,182,Нет
270000,588,Нет
554000,609,Да
218000,490,Нет
720000,911,Да
884000,344,Да
148000,461,Нет
661000,578,Да
380000,651,Да
292000,935,Да
574000,863,Да
695000,478,Да
816000,621,Да
100000,676,Нет
365000,340,Нет
548000,996,Да
689000,354,Да
414000,870,Да
556000,419,Да
647000,687,Да
666000,746,Да
775000,477,Да
992000,787,Да
501000,345,Нет
540000,434,Да
802000,974,Да
435000,813,Да
890000,129,Нет
133000,476,Нет
441000,834,Да
942000,875,Да
526000,181,Нет
207000,430,Нет
672000,224,Нет
119000,836,Нет
692000,694,Да
430000,803,Да
281000,721,Да
210000,923,Нет
946000,343,Да
350000,556,Нет
841000,921,Да
197000,977,Да
474000,658,Нет
937000,887,Да
338000,283,Нет
295000,697,Нет
324000,374,Нет
871000,198,Нет
373000,104,Нет
772000,829,Да
970000,740,Да
254000,907,Да
471000,669,Нет
214000,112,Нет
920000,165,Нет
964000,829,Да
865000,304,Нет
376000,354,Нет
119000,983,Нет
758000,480,Да
843000,307,Да
932000,639,Да
604000,753,Да
731000,941,Да
853000,899,Да
504000,220,Нет
935000,129,Нет
194000,701,Нет
551000,222,Нет
222000,442,Нет
684000,308,Да
503000,175,Нет
103000,148,Нет
623000,782,Да
860000,362,Нет
800000,922,Да
283000,200,Нет
466000,171,Нет
203000,946,Да
872000,701,Да
457000,731,Да
953000,897,Да
361000,838,Да
942000,430,Да
396000,881,Да
976000,464,Да
412000,540,Да
348000,798,Нет
498000,744,Да
583000,150,Нет
116000,225,Нет
761000,219,Нет
121000,919,Нет
274000,682,Нет
561000,416,Да
246000,820,Да
496000,653,Нет
574000,633,Да
388000,689,Да
299000,808,Да
862000,465,Да
920000,332,Нет
314000,397,Нет
692000,930,Да
526000,583,Да
983000,274,Нет
451000,250,Нет
620000,649,Да
188000,919,Нет
382000,972,Да
491000,525,Нет
