Количество счетов,Средний размер счета,Состояние
74,66,5049
33,74,3363
44,80,4245
79,22,1851
44,37,2232
31,54,2608
31,12,1184
54,24,1950
23,50,2048
65,43,2885
54,56,3185
91,21,2363
49,36,1912
61,93,5901
57,67,3953
14,30,633
24,15,984
21,34,1256
76,12,1763
85,41,4149
92,40,4423
19,11,269
93,21,2082
79,54,4698
81,63,5405
43,72,3310
41,20,1173
75,86,6543
49,79,4312
56,20,1862
13,99,2129
96,35,3840
76,96,8077
11,63,1442
28,14,1143
23,17,685
12,91,1675
94,27,3397
82,70,6580
91,32,3348
31,93,3325
67,65,5058
45,59,3041
85,77,7047
86,75,6629
20,78,1755
39,92,4574
42,71,3263
95,14,1834
75,16,1536
60,85,5557
59,32,2773
76,58,4727
27,27,746
88,25,2358
66,63,4676
91,34,3519
48,33,1838
10,44,459
90,33,3832
96,78,7999
82,59,5642
82,54,5140
81,47,4354
85,71,6732
55,14,1096
77,58,5091
37,46,2344
45,94,4282
90,54,5533
71,36,2669
60,24,2089
13,49,821
24,76,2605
39,17,1027
36,16,1049
71,46,3638
45,55,2819
22,65,1865
69,86,6470
12,38,736
53,56,3091
86,49,4963
21,57,1534
24,34,1639
73,91,7427
24,84,2627
85,88,7885
70,35,3180
95,84,8372
21,44,1288
66,39,2575
10,61,1462
20,33,769
93,91,8543
33,93,3685
64,71,4669
46,86,4654
53,66,3713
55,62,3951
