Shipment_ID,Route,Carrier,Cargo_Type,Season,Planned_Duration_hr,Actual_Duration_hr,Delay_hr,Route_Deviation_km,Avg_Speed_kmh,Distance_km,Fuel_Consumed_L,Fuel_per_100km,Border_Crossing,Border_Delay_hr,Planned_Stops,Actual_Stops,Cargo_Temp_C,Cargo_Humidity_pct,Shipment_Weight_kg,Declared_Value_USD,Hard_Braking_Events,Speeding_Events,Idle_Time_hr,Maint_Days_Since
1,Almaty-Bishkek,EuroAsia Cargo,Pharma,Spring,4.0,8.98,4.98,26.0,26.7,240,70.0,29.17,1,3.69,1,2,4.5,60.3,14499,710929,2,3,1.14,21
2,Astana-Novosibirsk,KazTrans,Pharma,Winter,18.0,23.58,5.58,25.6,60.6,1430,436.2,30.5,1,2.09,3,3,3.8,59.7,7778,319157,3,1,1.03,72
3,Almaty-Bishkek,EuroAsia Cargo,Industrial,Spring,4.0,8.01,4.01,22.3,30.0,240,71.2,29.68,1,2.73,1,1,17.4,51.3,7139,487727,3,2,1.13,13
4,Almaty-Tashkent,EuroAsia Cargo,Automotive,Autumn,10.0,12.56,2.56,0.0,54.9,690,169.4,24.55,1,2.02,3,3,22.8,56.5,9427,245787,2,2,1.8,28
5,Almaty-Tashkent,KazTrans,Industrial,Autumn,10.0,14.72,4.72,20.0,46.9,690,204.4,29.62,1,2.76,1,1,18.9,68.4,6804,541973,1,2,0.78,12
6,Astana-Novosibirsk,EuroAsia Cargo,Pharma,Winter,18.0,25.24,7.24,13.2,56.7,1430,467.7,32.71,1,4.2,1,1,6.7,59.9,6953,477365,1,4,0.0,33
7,Aktobe-Atyrau,KazTrans,Industrial,Winter,8.0,10.26,2.26,23.3,54.6,560,144.0,25.71,0,0.0,3,3,19.3,47.0,7824,559448,1,4,0.78,15
8,Almaty-Astana,EuroAsia Cargo,FMCG,Winter,14.0,16.22,2.22,40.5,67.8,1100,333.6,30.33,0,0.0,2,2,17.5,65.7,8870,143093,1,5,2.26,79
9,Almaty-Bishkek,TransCentral,Food,Winter,4.0,9.53,5.53,25.5,25.2,240,76.4,31.84,1,3.75,1,2,3.8,54.7,5826,243984,1,2,1.45,76
10,Almaty-Astana,SilkFreight,FMCG,Winter,14.0,17.15,3.15,2.6,64.1,1100,323.6,29.42,0,0.0,2,2,17.8,49.8,8596,141751,3,2,1.02,72
11,Astana-Omsk,EuroAsia Cargo,Automotive,Summer,10.0,12.4,2.4,9.3,61.3,760,201.0,26.45,1,1.31,2,2,18.8,62.3,5407,417456,1,3,1.38,66
12,Almaty-Tashkent,SilkFreight,Electronics,Summer,10.0,14.45,4.45,0.0,47.7,690,192.9,27.95,1,2.92,3,3,19.7,43.8,15754,1239795,0,0,0.55,47
13,Almaty-Tashkent,KazTrans,Industrial,Spring,10.0,15.36,5.36,30.3,44.9,690,198.0,28.69,1,3.23,1,2,15.4,61.2,7207,43223,3,0,1.38,26
14,Astana-Novosibirsk,TransCentral,Food,Summer,18.0,21.29,3.29,19.3,67.2,1430,382.3,26.73,1,2.14,1,1,4.1,54.3,8385,100167,3,0,1.5,39
15,Aktau-Atyrau,SilkFreight,Electronics,Summer,7.0,8.06,1.06,17.5,59.5,480,133.2,27.75,0,0.0,2,3,20.0,55.2,4165,277165,4,0,0.63,40
16,Almaty-Tashkent,SteppeLog,FMCG,Spring,10.0,14.19,4.19,31.0,48.6,690,191.1,27.7,1,2.56,2,2,16.9,48.4,9356,731279,6,5,0.42,3
17,Aktau-Atyrau,TransCentral,FMCG,Spring,7.0,20.68,13.68,0.0,23.2,480,153.2,31.92,0,0.0,2,3,17.4,51.7,6321,125319,12,4,5.95,78
18,Astana-Novosibirsk,TransCentral,Food,Autumn,18.0,24.95,6.95,13.1,57.3,1430,482.1,33.71,1,4.46,1,1,4.2,63.8,4918,245483,3,0,1.44,54
19,Almaty-Astana,TransCentral,FMCG,Winter,14.0,18.59,4.59,11.1,59.2,1100,336.6,30.6,0,0.0,1,2,22.6,60.7,8817,310465,3,2,2.43,0
20,Astana-Novosibirsk,KazTrans,Industrial,Spring,18.0,19.87,1.87,6.2,72.0,1430,403.5,28.22,1,1.3,3,3,19.2,47.9,8962,267338,3,2,0.89,18
21,Almaty-Astana,TransCentral,Automotive,Winter,14.0,16.52,2.52,14.0,66.6,1100,334.2,30.39,0,0.0,1,1,18.8,53.1,5090,71450,4,2,1.55,54
22,Almaty-Bishkek,EuroAsia Cargo,FMCG,Winter,4.0,9.48,5.48,9.3,25.3,240,75.8,31.57,1,4.09,2,3,16.0,36.5,8379,435427,6,0,0.29,7
23,Almaty-Bishkek,KazTrans,Food,Spring,4.0,8.78,4.78,0.0,27.3,240,81.8,34.07,1,3.7,2,3,2.2,47.0,3880,74554,1,0,0.26,19
24,Almaty-Bishkek,TransCentral,Industrial,Winter,4.0,8.27,4.27,0.0,29.0,240,76.0,31.68,1,2.25,1,1,19.8,56.5,8897,306681,3,1,2.23,54
25,Almaty-Bishkek,SteppeLog,Automotive,Summer,4.0,5.05,1.05,28.0,47.5,240,76.7,31.94,1,0.5,2,2,16.3,49.5,5358,140622,4,2,0.94,67
26,Almaty-Tashkent,SteppeLog,Automotive,Winter,10.0,15.02,5.02,6.5,45.9,690,222.3,32.21,1,2.65,3,3,24.0,57.6,6503,234869,1,3,2.05,19
27,Almaty-Astana,EuroAsia Cargo,Automotive,Summer,14.0,14.5,0.5,0.0,75.8,1100,313.0,28.45,0,0.0,3,3,16.2,40.5,1523,59656,0,1,0.35,45
28,Almaty-Tashkent,SteppeLog,Electronics,Spring,10.0,14.57,4.57,11.7,47.4,690,190.2,27.57,1,3.76,2,2,19.5,62.6,8117,287736,4,4,0.18,40
29,Astana-Omsk,EuroAsia Cargo,Industrial,Winter,10.0,16.94,6.94,9.5,44.9,760,222.0,29.21,1,2.7,1,1,20.3,48.5,9449,125452,1,1,0.84,88
30,Astana-Novosibirsk,KazTrans,Food,Winter,18.0,28.21,10.21,27.9,50.7,1430,431.8,30.19,1,6.04,3,3,3.6,45.2,13167,993199,3,2,1.76,75
31,Almaty-Astana,EuroAsia Cargo,Food,Autumn,14.0,14.74,0.74,21.6,74.6,1100,312.2,28.38,0,0.0,1,1,3.6,47.8,13637,1014328,5,1,0.09,31
32,Astana-Omsk,SteppeLog,Food,Autumn,10.0,13.46,3.46,7.1,56.5,760,211.9,27.88,1,2.54,1,2,3.2,51.6,9836,776087,3,0,1.92,55
33,Shymkent-Taraz,SilkFreight,FMCG,Autumn,3.0,3.62,0.62,22.4,55.2,200,57.3,28.65,0,0.0,2,2,16.3,42.0,12975,455260,3,1,1.14,15
34,Almaty-Bishkek,KazTrans,Food,Spring,4.0,7.32,3.32,12.8,32.8,240,68.0,28.35,1,2.97,1,1,3.9,49.3,7890,349433,4,2,0.0,24
35,Almaty-Astana,KazTrans,Food,Spring,14.0,17.53,3.53,27.0,62.7,1100,315.3,28.67,0,0.0,3,4,1.5,61.2,3568,210328,5,1,1.04,11
36,Almaty-Tashkent,SteppeLog,Industrial,Winter,10.0,14.08,4.08,20.0,49.0,690,190.8,27.65,1,1.89,1,1,18.7,62.3,9672,448230,2,5,1.26,46
37,Almaty-Astana,TransCentral,Industrial,Summer,14.0,16.12,2.12,15.8,68.2,1100,310.0,28.19,0,0.0,1,1,15.3,47.4,1945,84160,1,2,1.67,20
38,Aktobe-Atyrau,SteppeLog,Food,Spring,8.0,28.49,20.49,20.7,19.7,560,162.2,28.96,1,20.02,1,1,16.7,44.9,8772,149177,0,2,1.22,26
39,Almaty-Tashkent,TransCentral,Industrial,Autumn,10.0,13.66,3.66,10.8,50.5,690,186.0,26.96,1,2.9,1,1,17.0,47.0,4547,158496,4,3,1.16,77
40,Almaty-Tashkent,SilkFreight,Electronics,Autumn,10.0,13.79,3.79,20.6,50.0,690,179.6,26.03,1,1.85,3,3,19.5,54.8,500,37747,1,2,2.36,0
41,Aktau-Atyrau,KazTrans,Food,Summer,7.0,8.31,1.31,7.4,57.8,480,127.4,26.55,0,0.0,3,3,3.3,49.2,9825,385914,2,1,0.21,82
42,Shymkent-Taraz,TransCentral,FMCG,Spring,3.0,3.44,0.44,12.5,58.2,200,55.6,27.8,0,0.0,3,3,17.9,41.9,8729,360803,1,1,0.93,42
43,Aktau-Atyrau,TransCentral,FMCG,Winter,7.0,7.0,0.0,19.4,68.6,480,137.2,28.59,0,0.0,2,3,19.7,57.1,9359,70896,7,2,1.29,55
44,Almaty-Bishkek,KazTrans,FMCG,Autumn,4.0,7.71,3.71,8.3,31.1,240,84.0,34.99,1,2.34,3,3,21.1,46.4,7453,54693,3,2,0.92,83
45,Astana-Omsk,SteppeLog,FMCG,Autumn,10.0,16.26,6.26,17.2,46.7,760,241.8,31.81,1,3.7,3,3,14.1,60.9,8550,584378,1,2,1.52,39
46,Almaty-Tashkent,KazTrans,Food,Summer,10.0,13.3,3.3,16.1,51.9,690,208.6,30.23,1,2.56,3,3,0.2,44.0,6077,161165,6,2,0.81,82
47,Almaty-Astana,SteppeLog,Industrial,Summer,14.0,14.76,0.76,16.8,74.5,1100,254.4,23.13,0,0.0,1,2,21.0,60.6,5425,303189,2,3,0.55,60
48,Shymkent-Taraz,SilkFreight,Electronics,Summer,3.0,4.62,1.62,30.1,43.3,200,52.6,26.31,0,0.0,1,1,17.9,42.7,8305,576822,3,3,1.79,64
49,Aktobe-Atyrau,EuroAsia Cargo,Food,Winter,8.0,10.35,2.35,11.0,54.1,560,148.7,26.56,0,0.0,2,2,2.7,50.7,8418,99848,3,1,0.4,81
50,Astana-Novosibirsk,SilkFreight,Automotive,Autumn,18.0,25.66,7.66,24.5,55.7,1430,382.6,26.75,1,3.16,2,3,21.8,43.3,3327,103488,3,1,0.14,20
51,Astana-Novosibirsk,SteppeLog,Industrial,Summer,18.0,23.12,5.12,24.9,61.9,1430,394.5,27.59,1,3.4,3,3,18.5,30.0,8122,531853,3,3,1.53,0
52,Almaty-Astana,SteppeLog,FMCG,Autumn,14.0,17.98,3.98,30.2,61.2,1100,353.0,32.09,0,0.0,2,2,13.3,52.2,7093,160038,2,0,0.5,49
53,Astana-Novosibirsk,SilkFreight,Food,Spring,18.0,22.54,4.54,12.8,63.4,1430,395.2,27.63,1,4.21,2,2,2.9,54.9,7735,246377,2,2,1.1,87
54,Almaty-Astana,SilkFreight,FMCG,Autumn,14.0,14.49,0.49,5.8,75.9,1100,316.1,28.73,0,0.0,2,2,17.1,54.9,7870,226345,4,2,1.26,29
55,Almaty-Bishkek,EuroAsia Cargo,Pharma,Summer,4.0,10.11,6.11,0.0,23.7,240,78.2,32.6,1,4.34,3,3,4.9,60.8,9326,365777,1,2,0.84,34
56,Almaty-Bishkek,TransCentral,Pharma,Autumn,4.0,9.48,5.48,30.7,25.3,240,75.2,31.34,1,4.26,3,3,3.1,36.5,9796,331673,5,1,1.64,16
57,Almaty-Astana,EuroAsia Cargo,Automotive,Autumn,14.0,15.47,1.47,0.0,71.1,1100,325.9,29.63,0,0.0,2,2,16.9,54.4,8409,308510,5,5,1.28,42
58,Aktobe-Atyrau,TransCentral,Food,Winter,8.0,10.61,2.61,29.8,52.8,560,164.1,29.3,0,0.0,2,2,2.7,57.5,11028,335677,4,3,0.84,62
59,Aktobe-Atyrau,EuroAsia Cargo,Electronics,Winter,8.0,10.87,2.87,26.5,51.5,560,155.9,27.84,0,0.0,1,1,17.9,50.7,9644,716370,4,2,0.76,7
60,Aktau-Atyrau,SteppeLog,FMCG,Spring,7.0,8.33,1.33,60.0,57.6,480,123.6,25.75,0,0.0,1,1,21.7,47.4,10180,343901,2,2,2.03,7
61,Almaty-Astana,KazTrans,Pharma,Spring,14.0,15.68,1.68,21.9,70.2,1100,379.3,34.48,0,0.0,2,2,4.4,43.4,8152,445619,3,5,0.91,71
62,Astana-Novosibirsk,EuroAsia Cargo,FMCG,Spring,18.0,26.64,8.64,12.6,53.7,1430,432.1,30.21,1,5.51,1,1,14.7,59.3,7741,299028,3,1,1.19,60
63,Shymkent-Taraz,EuroAsia Cargo,Industrial,Summer,3.0,4.82,1.82,298.8,41.5,200,53.4,26.72,0,0.0,2,8,21.3,50.8,11815,126807,2,3,4.8,60
64,Almaty-Astana,EuroAsia Cargo,Electronics,Winter,14.0,18.18,4.18,33.2,60.5,1100,300.6,27.33,0,0.0,1,2,19.0,56.6,9936,755230,3,0,0.54,66
65,Aktobe-Atyrau,EuroAsia Cargo,Automotive,Autumn,8.0,8.76,0.76,0.0,63.9,560,150.5,26.87,0,0.0,1,1,24.8,64.8,9387,650381,3,1,1.15,21
66,Aktobe-Atyrau,SteppeLog,Automotive,Autumn,8.0,8.23,0.23,9.7,68.0,560,150.6,26.89,0,0.0,3,3,20.9,46.5,8358,231577,0,3,0.98,46
67,Almaty-Astana,KazTrans,Food,Autumn,14.0,16.5,2.5,16.7,66.7,1100,272.6,24.78,0,0.0,2,2,5.7,47.5,14351,276168,9,1,1.74,59
68,Shymkent-Taraz,SilkFreight,Food,Winter,3.0,4.35,1.35,17.4,46.0,200,58.8,29.4,0,0.0,2,3,2.0,48.3,12350,690767,3,3,2.59,62
69,Almaty-Astana,SilkFreight,Industrial,Summer,14.0,14.62,0.62,17.2,75.2,1100,320.8,29.16,0,0.0,2,2,22.0,59.5,5276,323472,1,2,1.17,83
70,Astana-Novosibirsk,KazTrans,FMCG,Winter,18.0,22.11,4.11,26.4,64.7,1430,364.1,25.46,1,1.23,3,3,18.1,49.7,11879,165602,2,0,0.89,48
71,Aktobe-Atyrau,SilkFreight,Electronics,Spring,8.0,9.73,1.73,18.1,57.6,560,143.6,25.65,0,0.0,2,2,20.1,70.7,10151,709830,1,0,1.57,32
72,Shymkent-Taraz,EuroAsia Cargo,Industrial,Spring,3.0,3.81,0.81,31.6,52.4,200,53.1,26.56,0,0.0,1,1,19.8,46.6,7555,520731,1,2,1.09,74
73,Almaty-Astana,SteppeLog,Electronics,Summer,14.0,15.64,1.64,11.8,70.3,1100,302.2,27.48,0,0.0,1,1,22.3,49.0,5254,234347,1,2,1.72,48
74,Astana-Novosibirsk,SteppeLog,Electronics,Summer,18.0,22.88,4.88,10.8,62.5,1430,352.2,24.63,1,2.87,3,3,15.6,54.1,5457,318273,6,3,1.54,34
75,Astana-Omsk,EuroAsia Cargo,Automotive,Summer,10.0,13.14,3.14,13.0,57.9,760,241.6,31.79,1,2.42,3,3,16.9,59.0,9033,481342,2,3,1.5,59
76,Astana-Omsk,TransCentral,Automotive,Winter,10.0,16.25,6.25,16.4,46.8,760,198.0,26.05,1,3.69,3,3,13.4,62.8,4167,203476,3,1,1.86,22
77,Astana-Omsk,SilkFreight,Food,Summer,10.0,13.58,3.58,10.4,55.9,760,200.1,26.33,1,1.44,2,2,2.8,50.5,11889,180449,4,5,0.78,83
78,Aktobe-Atyrau,KazTrans,FMCG,Autumn,8.0,9.09,1.09,34.3,61.6,560,154.4,27.57,0,0.0,1,1,18.2,46.6,6786,232934,1,1,0.24,46
79,Almaty-Astana,KazTrans,FMCG,Autumn,14.0,15.09,1.09,45.1,72.9,1100,277.7,25.25,0,0.0,1,1,16.6,49.1,5005,192815,5,0,0.72,66
80,Aktobe-Atyrau,SteppeLog,Electronics,Winter,8.0,9.59,1.59,5.4,58.4,560,154.7,27.63,0,0.0,1,1,23.4,61.0,11800,392550,0,2,1.13,5
81,Aktau-Atyrau,EuroAsia Cargo,Pharma,Spring,7.0,7.31,0.31,29.0,65.7,480,118.6,24.71,0,0.0,1,1,5.0,55.9,14444,476331,2,3,1.66,30
82,Almaty-Tashkent,KazTrans,FMCG,Summer,10.0,13.15,3.15,30.9,52.5,690,197.3,28.6,1,1.78,2,2,17.4,75.7,9664,363064,1,2,1.37,34
83,Shymkent-Taraz,SilkFreight,FMCG,Autumn,3.0,4.14,1.14,35.2,48.3,200,54.1,27.04,0,0.0,1,2,15.9,52.1,5511,298472,3,1,0.92,68
84,Almaty-Astana,SilkFreight,FMCG,Autumn,14.0,14.78,0.78,22.3,74.4,1100,338.6,30.78,0,0.0,1,1,14.1,44.0,9895,316925,3,2,0.38,69
